cos_t,cos_p
0.2724008460207545,0.9248845026847455
0.6778655963083035,0.716879099257357
0.39908843287891604,0.9291312231544123
0.8479069067282824,0.9060708130912698
0.7784360624632256,0.11347239507915739
0.49747146959075506,0.3243553041126516
0.32637327128511145,0.5760332617422025
0.6216135218816136,0.2617262224924961
0.7338282264055634,0.4273943823056124
0.6102746161924728,0.9339924581524518
0.6658955433387193,0.6016367897184481
0.19568300635655392,0.6104291099204754
0.1427993470524186,0.6033052866304771
0.4938516099012181,0.9900044229710834
0.8256089080793515,0.5274026777233045
0.5269415315547561,0.3351275710275642
0.5030373319326289,0.8200459714472793
0.54931692284572,0.26928307345486946
0.5724984387496548,0.2785611082910197
0.5183669867743081,0.43423337414715635
0.07028408483539567,0.2576203736348889
9.614350477762828e-09,1.7112034142677064e-06
0.7709780359816812,0.19227199773157264
0.6089772563403159,0.2797110320769823
0.04898808412180491,0.8307477001683605
0.0875454248310648,0.9446183800143947
0.5351484335607709,0.7949112433998728
0.4181517626186047,0.6666220533755759
1.0,0.8253536973521769
0.7004524316915209,0.5096498701150675
0.8052058022440259,0.13213589531509334
0.11103113050393904,0.49175244329820467
0.705009944702216,0.008126000311405696
0.22484588057961108,0.6474791970599901
0.4125462234566857,0.8917498516690067
0.0,0.0
0.413708520605864,0.22472609873210334
0.21844230357787842,0.6556555849049055
0.5706027563387966,0.4936846134384198
0.645306149556833,0.43262818174122253
0.39022469052436404,0.9756331516050145
0.2809189269789078,0.22211170198830235
0.5319490032791268,0.6130737400930749
0.8814579000126491,0.6800272084866279
0.9084008725406483,0.8657551296472633
0.5745338710664478,0.3255028187998958
0.8494597153978317,0.2807729787621274
0.7800102461957724,0.5092200103282583
0.0,0.00022360925024635472
0.8126550393830712,0.7613578577933985
0.7327187482385175,0.42661756493023906
0.7042426983550032,0.2705566621485691
0.6602622435090915,0.9615352395884292
0.534826345973202,0.0063250858691005765
0.6137384099214399,0.20332425173105068
0.9579268950145339,0.8204511942401639
0.5239211508075493,0.33934827569489445
0.0,9.079872431175055e-07
0.8627880207931653,0.9995479709407801
0.1442816687001011,0.8019308075231607
0.9734848675001033,0.01248425809213144
0.0,8.147338291172868e-08
0.0,0.00024286659949209459
0.44412948059742247,0.9900551121508746
0.9326259530999936,0.20482667992657483
0.6696239087579886,0.6873360811769363
0.16919294614815059,0.04651128462219761
0.6063418725769363,0.7715074798190587
0.2840226631515161,0.6444134706819091
0.28119327954765466,0.43434161414383543
0.45805234594681876,0.03472240393418895
0.22863003173450958,0.37956959394601847
0.0,5.144619356069191e-05
0.0,0.0
0.0,4.457225372960732e-05
0.6146877882869617,0.40716522001481625
0.0,0.0
0.29972700370023997,0.8935911310230896
0.8405654829884353,0.8657116976878757
0.0,0.0
0.0,0.0
0.9619443265329135,0.8718555778199409
0.6373739204340231,0.48734115422877256
0.4443177977537965,0.030847701374038125
0.789459594383751,0.6308217001939769
0.9598677622454891,0.9959810710933459
1.0,1.0
0.9466157937096471,0.4787557097684428
0.8218583140556017,0.9593892689256507
0.0,0.0
0.9616658811921702,0.3251924578630739
0.0,0.0
0.7195691829437822,0.885529069301458
0.3468551114834348,0.6842368328165809
0.5262948203519551,0.8794601516359549
1.8496087063582476e-08,0.0
1.0,0.39123005078815876
1.0,0.03742086363164652
0.41971710835743753,0.20136779468524657
0.18331493558490614,0.9496540919005585
1.0,0.46574703585151733
0.8185799417140114,0.731540359328411
0.6903695170539244,0.6657486079716572
0.4355618690252069,0.7375827805753022
0.7790083702785939,0.34555542837573594
0.45080741732696256,0.7220995459199157
0.7347192973520951,0.9677051312360347
0.4125040264145235,0.6127908272421763
0.1645091309190668,0.27401214760517933
0.9796988590404703,0.948989949148598
0.0,0.0
0.4562839173585784,0.7893999901609193
0.9249289998226845,0.16108262427805956
0.9473526771171477,0.9925189813721139
0.893883941165987,0.8844622741773809
0.7213366711527938,0.8739823907723838
0.6860765437810162,0.7611659680997194
0.8612964440365501,0.660936313952788
0.982150769062183,0.8228733671277251
0.8577421782669438,0.9968418873108499
0.7009922628339595,0.4848277553517848
0.6153802009335619,0.755076146975598
0.3460471460268708,0.4654171391071124
0.9095492570277085,0.8295075714785539
0.6195260103451343,0.4654014780785118
0.0,0.0
0.3513214204592532,0.9865195703994232
